"rho","r2","N","k","model",".Rep","er2","aer2","bias","rmse","abias","armse","power","n_ok","n_fail","model_label","power_adjr2","power_gap"
0.3,0.025,25,3,"gaussian",5000,0.14669335928413,0.024792410610434,0.12169335928413,0.159524883076838,-0.000207589389565961,0.11788031353973,0.0882,5000,0,"Gaussian",0.0832283867940024,0.00497161320599761
0.3,0.05,25,3,"gaussian",5000,0.165677686068959,0.0464887840788108,0.115677686068959,0.161097962960545,-0.00351121592118918,0.128186933543595,0.1204,5000,0,"Gaussian",0.117037093939853,0.00336290606014659
0.3,0.075,25,3,"gaussian",5000,0.186837355981296,0.0706712639786238,0.111837355981296,0.164681333453448,-0.00432873602137616,0.138218135281141,0.1666,5000,0,"Gaussian",0.159723922834455,0.00687607716554481
0.3,0.1,25,3,"gaussian",5000,0.208828002213966,0.0958034311016755,0.108828002213966,0.165843486541292,-0.00419656889832455,0.143081020142213,0.2194,5000,0,"Gaussian",0.209308815136788,0.0100911848632124
0.3,0.125,25,3,"gaussian",5000,0.22946685673978,0.119390693416892,0.10446685673978,0.167250052681976,-0.00560930658310826,0.149375170289988,0.2652,5000,0,"Gaussian",0.260194779645314,0.00500522035468626
0.3,0.15,25,3,"gaussian",5000,0.248538087638568,0.141186385872649,0.098538087638568,0.166138746585715,-0.00881361412735082,0.153124954151304,0.3208,5000,0,"Gaussian",0.310430830886351,0.0103691691136488
0.3,0.175,25,3,"gaussian",5000,0.270285329506585,0.166040376578954,0.0952853295065849,0.168204648404079,-0.00895962342104574,0.158667801485022,0.3804,5000,0,"Gaussian",0.370733305632198,0.00966669436780204
0.3,0.2,25,3,"gaussian",5000,0.292514666875133,0.19144533357158,0.0925146668751328,0.170372588016639,-0.00855466642841967,0.163727540216223,0.4476,5000,0,"Gaussian",0.434708375352768,0.0128916246472323
0.3,0.225,25,3,"gaussian",5000,0.310047004632485,0.211482291008555,0.0850470046324852,0.166515862201683,-0.0135177089914454,0.164167921367642,0.5002,5000,0,"Gaussian",0.486065645682913,0.0141343543170865
0.3,0.25,25,3,"gaussian",5000,0.329955102552993,0.234234402917706,0.0799551025529927,0.16590017873725,-0.015765597082294,0.166874167727796,0.5512,5000,0,"Gaussian",0.544487834643693,0.00671216535630681
0.3,0.275,25,3,"gaussian",5000,0.351254845583425,0.258576966381057,0.0762548455834248,0.166681213475898,-0.016423033618943,0.170183389347679,0.6002,5000,0,"Gaussian",0.606084385907037,0.00588438590703722
0.3,0.3,25,3,"gaussian",5000,0.372954316523113,0.283376361740701,0.0729543165231132,0.16324433275317,-0.0166236382592992,0.167723608539065,0.6672,5000,0,"Gaussian",0.666689250580023,0.000510749419976531
0.3,0.325,25,3,"gaussian",5000,0.393940364615598,0.307360416703541,0.068940364615598,0.16450048902231,-0.0176395832964594,0.1716032062293,0.7128,5000,0,"Gaussian",0.722132139759889,0.00933213975988934
0.3,0.35,25,3,"gaussian",5000,0.412949209884581,0.329084811296664,0.062949209884581,0.156462557118419,-0.020915188703336,0.165034458437895,0.7674,5000,0,"Gaussian",0.768835755793735,0.00143575579373545
0.3,0.375,25,3,"gaussian",5000,0.434616019918991,0.353846879907419,0.0596160199189914,0.157857068179326,-0.0211531200925812,0.168381942846244,0.8046,5000,0,"Gaussian",0.81718359221954,0.01258359221954
0.3,0.4,25,3,"gaussian",5000,0.456543079650424,0.378906376743341,0.0565430796504237,0.155429742096504,-0.0210936232566586,0.166802115312274,0.8364,5000,0,"Gaussian",0.860135369569139,0.0237353695691389
0.3,0.025,50,3,"gaussian",5000,0.0827048133472247,0.0228812142176958,0.0577048133472247,0.0828295352095346,-0.00211878578230421,0.0633320142048659,0.1234,5000,0,"Gaussian",0.121244760801717,0.00215523919828296
0.3,0.05,50,3,"gaussian",5000,0.107343171851116,0.0491264221892322,0.057343171851116,0.091980967094869,-0.000873577810767794,0.0766137309540143,0.2228,5000,0,"Gaussian",0.222753251475335,4.67485246650468e-05
0.3,0.075,50,3,"gaussian",5000,0.128845788423831,0.072031383321037,0.0538457884238307,0.0956312047510897,-0.00296861667896299,0.0842379207167249,0.3376,5000,0,"Gaussian",0.322360543274475,0.0152394567255255
0.3,0.1,50,3,"gaussian",5000,0.151677343283026,0.0963519526275716,0.0516773432830265,0.0984839366768017,-0.00364804737242839,0.0893784458617895,0.4378,5000,0,"Gaussian",0.432480324689805,0.005319675310195
0.3,0.125,50,3,"gaussian",5000,0.175519629608922,0.121749170670373,0.0505196296089221,0.103320541245945,-0.00325082932962656,0.096060018851933,0.545,5000,0,"Gaussian",0.545243044478822,0.000243044478822285
0.3,0.15,50,3,"gaussian",5000,0.198365268552391,0.146084742588417,0.0483652685523914,0.106752317152801,-0.00391525741158318,0.10144968294732,0.6418,5000,0,"Gaussian",0.645404766596267,0.00360476659626685
0.3,0.175,50,3,"gaussian",5000,0.219647903168344,0.168755375114105,0.0446479031683438,0.10634068673839,-0.00624462488589471,0.102997615005689,0.7278,5000,0,"Gaussian",0.728147580207103,0.000347580207102904
0.3,0.2,50,3,"gaussian",5000,0.242835946884817,0.193455682551219,0.0428359468848174,0.109158663918473,-0.0065443174487815,0.107150703649086,0.7962,5000,0,"Gaussian",0.804383604616439,0.00818360461643919
0.3,0.225,50,3,"gaussian",5000,0.262840946625148,0.214765356187657,0.0378409466251475,0.110295443791428,-0.0102346438123429,0.110831055134383,0.8476,5000,0,"Gaussian",0.85785310550496,0.0102531055049599
0.3,0.25,50,3,"gaussian",5000,0.288561270099396,0.2421630920624,0.0385612700993961,0.110853491812743,-0.00783690793759987,0.110985490103758,0.8964,5000,0,"Gaussian",0.910479407425251,0.0140794074252506
0.3,0.275,50,3,"gaussian",5000,0.313487731881148,0.268715192656005,0.038487731881148,0.111822796045506,-0.00628480734399462,0.112014294516108,0.935,5000,0,"Gaussian",0.946170876341824,0.0111708763418241
0.3,0.3,50,3,"gaussian",5000,0.334676595118633,0.291285938278544,0.0346765951186334,0.112448837311647,-0.00871406172145578,0.114277503372367,0.9548,5000,0,"Gaussian",0.966814471990742,0.0120144719907421
0.3,0.325,50,3,"gaussian",5000,0.356031958119383,0.31403404234456,0.0310319581193828,0.112069071034719,-0.0109659576554401,0.115233051491313,0.9688,5000,0,"Gaussian",0.980657015822167,0.0118570158221671
0.3,0.35,50,3,"gaussian",5000,0.380061593130398,0.339630827464989,0.0300615931303982,0.108524617147905,-0.0103691725350106,0.111561627772631,0.9854,5000,0,"Gaussian",0.990165806119673,0.00476580611967337
0.3,0.375,50,3,"gaussian",5000,0.405694876743652,0.366935846966064,0.0306948767436516,0.10877654787116,-0.00806415303393634,0.111453880990674,0.992,5000,0,"Gaussian",0.995631727414254,0.0036317274142541
0.3,0.4,50,3,"gaussian",5000,0.431538337062985,0.394464750349701,0.0315383370629847,0.108716518115745,-0.00553524965029898,0.110964860516839,0.9966,5000,0,"Gaussian",0.998266604019989,0.00166660401998875
0.3,0.025,75,3,"gaussian",5000,0.0631562646714386,0.02357131810826,0.0381562646714386,0.0587879071993746,-0.00142868189174,0.0466342532377668,0.169,5000,0,"Gaussian",0.169572443242602,0.000572443242601722
0.3,0.05,75,3,"gaussian",5000,0.0863709855107845,0.047766942645043,0.0363709855107845,0.0653789571342866,-0.002233057354957,0.0566678316990818,0.316,5000,0,"Gaussian",0.32185149498032,0.00585149498031973
0.3,0.075,75,3,"gaussian",5000,0.111162205514481,0.0736056789869239,0.036162205514481,0.071509672098042,-0.00139432101307608,0.06431403350254,0.5012,5000,0,"Gaussian",0.490864978319297,0.0103350216807033
0.3,0.1,75,3,"gaussian",5000,0.13488382225337,0.0983296175598506,0.0348838222533701,0.0765941555540492,-0.00167038244014944,0.0710901876873294,0.6362,5000,0,"Gaussian",0.638130299159748,0.00193029915974796
0.3,0.125,75,3,"gaussian",5000,0.158134012632277,0.122562210349133,0.0331340126322767,0.0800974761783785,-0.00243778965086651,0.0760431885497735,0.7518,5000,0,"Gaussian",0.757083897738725,0.00528389773872506
0.3,0.15,75,3,"gaussian",5000,0.178833330542787,0.144136147326285,0.0288333305427867,0.081526358994606,-0.00586385267371519,0.0796955294930245,0.8324,5000,0,"Gaussian",0.838630986836977,0.00623098683697731
0.3,0.175,75,3,"gaussian",5000,0.204724196064802,0.171120993081624,0.0297241960648016,0.0843921010309911,-0.00387900691837578,0.0824128669257114,0.9102,5000,0,"Gaussian",0.910169264227637,3.07357723631219e-05
0.3,0.2,75,3,"gaussian",5000,0.228187485857826,0.195575689485622,0.0281874858578265,0.087823051856798,-0.00442431051437797,0.0868039745367927,0.9396,5000,0,"Gaussian",0.950957730845097,0.0113577308450975
0.3,0.225,75,3,"gaussian",5000,0.250616411044268,0.21895231573628,0.0256164110442682,0.0876879241873434,-0.00604768426372041,0.0876152842110947,0.968,5000,0,"Gaussian",0.974359652428945,0.00635965242894465
