"rho","r2","N","k","model",".Rep","er2","aer2","bias","rmse","abias","armse","power","n_ok","n_fail","model_label","power_adjr2","power_gap"
0.3,0.03,30,3,"gaussian",1000,0.123312972124171,0.0221567766000374,0.0933129721241715,0.128074638790881,-0.00784322339996262,0.0981617633289062,0.085,1000,0,"Gaussian",0.0869693581904721,0.00196935819047206
0.3,0.06,30,3,"gaussian",1000,0.1569350912824,0.0596583710457544,0.0969350912824005,0.139669810677203,-0.000341628954245623,0.112157665718792,0.173,1000,0,"Gaussian",0.164088589553048,0.00891141044695237
0.3,0.09,30,3,"gaussian",1000,0.181252451780758,0.0867815808323835,0.0912524517807577,0.142144377286382,-0.00321841916761645,0.121604241960843,0.233,1000,0,"Gaussian",0.229817660322963,0.00318233967703688
0.3,0.12,30,3,"gaussian",1000,0.207513346409194,0.116072578687178,0.0875133464091944,0.146385758425002,-0.00392742131282163,0.130945407425215,0.328,1000,0,"Gaussian",0.308148553745245,0.0198514462547554
0.3,0.15,30,3,"gaussian",1000,0.229481365715605,0.140575369452021,0.079481365715605,0.145593798768896,-0.00942463054797901,0.136385879676917,0.384,1000,0,"Gaussian",0.377803029335532,0.006196970664468
0.3,0.18,30,3,"gaussian",1000,0.262750595019387,0.177683355983163,0.0827505950193874,0.149603493924993,-0.00231664401683718,0.139033747337163,0.505,1000,0,"Gaussian",0.486609808543563,0.0183901914564367
0.3,0.21,30,3,"gaussian",1000,0.281177258791641,0.198236173267599,0.0711772587916408,0.144605141159056,-0.0117638267324006,0.140890700046267,0.558,1000,0,"Gaussian",0.546687828073444,0.0113121719265563
0.3,0.24,30,3,"gaussian",1000,0.312025720527266,0.232644072895797,0.0720257205272662,0.150732182260619,-0.00735592710420306,0.147871481632675,0.656,1000,0,"Gaussian",0.643588309988396,0.0124116900116038
0.3,0.27,30,3,"gaussian",1000,0.328325848186826,0.250824984516075,0.0583258481868256,0.144956860269918,-0.0191750154839254,0.149253844269082,0.689,1000,0,"Gaussian",0.691671673979025,0.00267167397902479
0.3,0.3,30,3,"gaussian",1000,0.356302388422929,0.282029587087113,0.0563023884229289,0.145011673476043,-0.017970412912887,0.150134265593402,0.76,1000,0,"Gaussian",0.767180205249026,0.00718020524902618
0.3,0.03,60,3,"gaussian",1000,0.0788496399502857,0.0295022992333367,0.0488496399502857,0.0735848119920406,-0.000497700766663283,0.0579814768896062,0.174,1000,0,"Gaussian",0.168632183669483,0.00536781633051739
0.3,0.06,60,3,"gaussian",1000,0.108482636437226,0.0607227776749345,0.048482636437226,0.082948845312654,0.000722777674934505,0.0709141666353279,0.335,1000,0,"Gaussian",0.326679666582237,0.00832033341776267
0.3,0.09,60,3,"gaussian",1000,0.135259730536723,0.088934358958333,0.0452597305367228,0.08628460440097,-0.00106564104166703,0.077404257283298,0.493,1000,0,"Gaussian",0.47717234476231,0.0158276552376903
0.3,0.12,60,3,"gaussian",1000,0.160416844901153,0.115439175878001,0.0404168449011533,0.0903978311212006,-0.00456082412199923,0.0853131768807633,0.607,1000,0,"Gaussian",0.609943499487103,0.0029434994871026
0.3,0.15,60,3,"gaussian",1000,0.185495369962518,0.141861193353367,0.0354953699625176,0.0910998087706772,-0.00813880664663332,0.0887688107103571,0.729,1000,0,"Gaussian",0.724373427097319,0.00462657290268098
0.3,0.18,60,3,"gaussian",1000,0.214719979996443,0.172651407496252,0.0347199799964429,0.0955128677766958,-0.00734859250374763,0.0940331276510921,0.831,1000,0,"Gaussian",0.829046267740233,0.00195373225976736
0.3,0.21,60,3,"gaussian",1000,0.243879764122736,0.203373322915026,0.0338797641227362,0.101133286692514,-0.00662667708497435,0.100612838572789,0.877,1000,0,"Gaussian",0.902359633483466,0.0253596334834657
0.3,0.24,60,3,"gaussian",1000,0.272063427471147,0.233066825371387,0.0320634274711472,0.1014655495977,-0.00693317462861275,0.101660084937712,0.937,1000,0,"Gaussian",0.947850281474499,0.0108502814744986
